id,url,category
recipe_052,https://cappi.ua/blog/article/yak-prigotuvati-smachnu-pizzu,pizza
recipe_053,https://glaznews.com/2025/09/21/shkilna-pica/,pizza
recipe_054,https://www.unian.ua/recipes/baking/unsweetened-pastries/pica-na-skovorodi-3-varianti-shvidkoji-stravi-12137976.html,pizza
recipe_055,https://tsn.ua/lady/kukhnya/recepty/shvidka-pica-na-skovorodi-recept-u-yakomu-ne-potribno-rozkachuvati-tisto-2311543.html,pizza
recipe_056,https://subota.online/pitsa-za-5-khvylyn-smachna-vecheria-na-shvydku-ruku/,pizza
recipe_057,https://www.unian.ua/recipes/second-courses/meat-dishes/domashnya-pica-recept-yak-prigotuvati-idealne-tonke-tisto-11697763.html,pizza
recipe_058,https://jisty.com.ua/shvidka-pitsa-u-duhovtsi/,pizza
recipe_059,https://blog.comfy.ua/ua/prigolomshliva-pica-na-shvidku-ruku/,pizza
recipe_060,https://www.unian.ua/recipes/vkusnaya-domashnyaya-picca-neskolko-receptov-dlya-kazhdogo-12143910.html,pizza
recipe_061,https://klopotenko.com/yak-prygotuvaty-piczu-desyat-reczeptiv-na-vybir-vid-yevgena-klopotenka/,pizza
recipe_062,https://glavred.net/recipes/mozhno-gotovit-hot-kazhdyy-den-recept-idealnoy-piccy-za-15-minut-10699874.html,pizza
recipe_063,https://stationpizza.ua/dityacha-picza-yaki-nachinki-vibirayut-malyuki,pizza
recipe_064,https://easy-cooking.com.ua/tag/kartoplya/,potato
recipe_065,https://www.rbc.ua/rus/styler/lishe-pyure-ta-smazhena-7-tsikavih-strav-1717585684.html,potato
recipe_066,https://tsn.ua/ukrayina/scho-prigotuvati-z-kartopli-p-yat-prostih-receptiv-dlya-vsiyeyi-sim-yi-2135413.html,potato
recipe_067,https://klopotenko.com/ingredient/kartoplya/,potato
recipe_068,https://www.unian.ua/lite/advice/kak-zharit-kartoshku-chtoby-ona-ne-prilipala-k-skovorodu-poleznyy-layfhak-13206174.html,potato
